Date,Close/Last,Volume,Open,High,Low
04/08/2021,$56,21999300,$55.93,$56.08,$55.32
04/07/2021,$56.59,22384960,$56.39,$56.77,$56.24
04/06/2021,$56.34,18926270,$56.84,$57.5399,$56.26
04/05/2021,$56.5,23264840,$57.3,$57.32,$56.14
04/01/2021,$57.39,23194470,$56.32,$57.45,$56.14
03/31/2021,$55.83,23686450,$56.35,$56.63,$55.8
03/30/2021,$56.69,20303430,$56.86,$57.36,$56.49
03/29/2021,$57.4,21144400,$57.34,$57.82,$56.74
03/26/2021,$57.71,34226460,$57.3,$57.78,$56.5239
03/25/2021,$56.18,31495920,$55.21,$56.5,$54.5
03/24/2021,$56.34,29781780,$56.08,$57.28,$56.08
03/23/2021,$55.22,33493300,$54.94,$56.29,$54.45
03/22/2021,$55.91,29315080,$56.5,$56.86,$55.9
03/19/2021,$56.49,84439410,$56.71,$57.465,$55.8101
03/18/2021,$56.81,38622830,$58.81,$58.965,$56.52
03/17/2021,$59.37,25575480,$58.69,$59.73,$58.62
03/16/2021,$59.11,30624760,$59.54,$59.66,$58.44
03/15/2021,$60.39,31263560,$61.49,$61.855,$59.87
03/12/2021,$61.97,20422690,$61.55,$62.37,$61.5
03/11/2021,$61.31,24802650,$61.78,$62.55,$61.26
03/10/2021,$61.77,31579100,$60.52,$61.915,$60.03
03/09/2021,$59.93,35645900,$60.61,$61.39,$59.47
03/08/2021,$60.87,38154580,$61.58,$61.61,$59.82
03/05/2021,$60.93,51429770,$59.83,$61.05,$59.11
03/04/2021,$58.71,52137540,$57.12,$59.4684,$57.1
03/03/2021,$56.52,35358930,$56.42,$57.96,$55.88
03/02/2021,$56.07,30302650,$56.65,$56.96,$56.02
03/01/2021,$56.4,36998310,$56.47,$57.61,$56.13
02/26/2021,$54.37,35291030,$54.41,$55.055,$53.12
02/25/2021,$55.76,29670880,$56.98,$57.245,$55.3516
02/24/2021,$56.7,28728640,$55.19,$57,$54.8733
02/23/2021,$55.05,33527950,$54.98,$55.255,$53.74
02/22/2021,$54.3,36435110,$52.59,$54.81,$52.59
02/19/2021,$52.37,22607160,$52.11,$52.56,$51.915
02/18/2021,$52.02,20627640,$52.81,$52.935,$51.86
02/17/2021,$52.85,25552230,$52.35,$53.2695,$51.8
02/16/2021,$52.04,28060140,$51.96,$52.53,$51.62
02/12/2021,$50.52,19756700,$49.43,$50.7116,$49.41
02/11/2021,$49.84,26972160,$50.89,$50.93,$48.78
02/10/2021,$51.12,25723790,$50.63,$51.42,$50.391
02/09/2021,$50.63,28976970,$50.67,$50.96,$49.77
02/08/2021,$52.1,36998720,$50.92,$52.36,$50.71
02/05/2021,$49.95,34980140,$49.18,$50.12,$49.04
02/04/2021,$48.33,25280260,$47.88,$48.38,$47.25
02/03/2021,$47.42,28459280,$45.63,$47.67,$45.42
