Date,Close/Last,Volume,Open,High,Low
04/05/2021,$104.51,8692709,$105.73,$105.83,$104.17
04/01/2021,$105.75,8515750,$105.26,$105.86,$104.21
03/31/2021,$104.79,8954377,$105.55,$106.22,$104.6
03/30/2021,$105.93,6284594,$106.06,$106.83,$105.59
03/29/2021,$106.92,7542327,$106.4,$107.53,$105.7
03/26/2021,$107.48,9820150,$106.54,$107.54,$105.36
03/25/2021,$105.07,11138160,$102.85,$105.26,$102.07
03/24/2021,$104.7,11026790,$102.99,$105.76,$102.91
03/23/2021,$101.97,14781720,$101.45,$104.3,$100.69
03/22/2021,$102.54,12508500,$103.06,$104.5,$102.311
03/19/2021,$103.38,18490990,$103.94,$104.89,$102.74
03/18/2021,$104.12,13246640,$107.01,$107.53,$103.71
03/17/2021,$108.03,9168615,$107.21,$108.5582,$106.6
03/16/2021,$107.64,11698410,$108.53,$108.88,$107.08
03/15/2021,$110.25,10490520,$111.53,$111.905,$108.89
03/12/2021,$111.56,10930300,$111.64,$112.7,$110.7205
03/11/2021,$111.19,10989460,$111.65,$112.55,$110.89
03/10/2021,$111.37,17389900,$110.2,$112.01,$109.7
03/09/2021,$109.5,19010710,$109.07,$110.69,$107.88
03/08/2021,$109.75,18033630,$109.86,$110.43,$108.06
03/05/2021,$109,23638180,$106.96,$109.13,$106.15
03/04/2021,$104.5,22994230,$104.515,$107.58,$103.13
03/03/2021,$103.59,14958190,$103.41,$105.75,$103.4
03/02/2021,$102.44,10643500,$101.89,$103.309,$101.71
03/01/2021,$102.05,10441460,$102.46,$103.8,$101.4
02/26/2021,$100,14454120,$100.3,$101.06,$97.61
02/25/2021,$102.35,13219200,$104.9,$104.96,$101.59
02/24/2021,$103.31,16115970,$100.33,$104.04,$99.81
02/23/2021,$99.63,14873980,$99.97,$100.16,$96.8
02/22/2021,$98.39,13178660,$96.99,$99.64,$96.46
02/19/2021,$95.8,8913854,$95.13,$96.38,$94.65
02/18/2021,$95,9037383,$95.75,$95.78,$94.3
02/17/2021,$95.92,14359910,$95.42,$96.72,$94.2
02/16/2021,$93.13,14005980,$93.05,$93.86,$92.61
02/12/2021,$92.55,7858297,$91.53,$92.73,$91.35
02/11/2021,$92.02,8572404,$92.37,$92.44,$90.08
02/10/2021,$92.52,8778844,$91.38,$92.59,$90.6
02/09/2021,$90.96,7605481,$91.1,$91.27,$89.81
02/08/2021,$91.48,9886579,$90.29,$92.04,$90.01
02/05/2021,$89.26,8017276,$89.94,$90.47,$88.64
02/04/2021,$89,7917645,$89.51,$89.65,$87.945
02/03/2021,$88.96,9256453,$87.05,$89.39,$86.89
02/02/2021,$87.06,9233059,$88.01,$88.37,$86.53
02/01/2021,$86.41,8073583,$85.99,$87.3,$84.57
01/29/2021,$85.2,14699840,$86.83,$87.34,$84.92
01/28/2021,$89.02,8155520,$88.67,$90.15,$88.25
01/27/2021,$88.2,10178500,$87.53,$90.35,$86.745
01/26/2021,$89.36,7827751,$92.2,$92.91,$89.27
01/25/2021,$90.9,7689434,$90.62,$91.0271,$89.33
01/22/2021,$91.73,7810638,$90.4,$92.03,$89.83
01/21/2021,$92.01,10395870,$93.855,$94.66,$91.22
01/20/2021,$95.38,8735375,$95,$95.56,$94.3002
01/19/2021,$94.51,9574755,$93.5,$95.03,$93.29
01/15/2021,$92.09,10244600,$94.22,$94.31,$91.71
01/14/2021,$95.49,13950230,$93.94,$96.315,$93.79
01/13/2021,$93.25,9723285,$93.2,$93.52,$91.94
01/12/2021,$93.34,10923860,$92.66,$93.9209,$91.71
01/11/2021,$91.6,10640790,$89.12,$92.1,$88.57
01/08/2021,$91.08,11152130,$92.08,$92.43,$90.45
01/07/2021,$90.22,9286622,$90.39,$90.82,$89.305
01/06/2021,$89.8,13916760,$89,$90.78,$87.82
01/05/2021,$87,13414800,$85.49,$89.22,$85.32
01/04/2021,$84.71,9234919,$85.15,$85.95,$83.89
12/31/2020,$84.45,8350679,$84.9,$85.195,$83.9601
12/30/2020,$85.33,7901846,$84.61,$86.575,$84.54
12/29/2020,$84.61,7670818,$85.26,$85.7234,$84.05
12/28/2020,$84.9,8051925,$85.61,$86.63,$84.62
12/24/2020,$85.33,3335646,$85.93,$85.93,$84.81
12/23/2020,$85.69,7223112,$85,$86.66,$85
12/22/2020,$84.36,8589973,$85.44,$85.8,$84.3
12/21/2020,$86.09,11430470,$84.35,$86.835,$83.53
12/18/2020,$87.19,27427610,$87.98,$88.71,$86.26
12/17/2020,$88.41,11748930,$89.54,$89.55,$87.55
12/16/2020,$88.69,9892928,$89.2,$89.35,$87.85
12/15/2020,$89.37,11782520,$89.42,$90.48,$88.77
12/14/2020,$89.44,12198390,$93.4,$93.7,$89.24
12/11/2020,$92.45,9584454,$92.525,$93.28,$91.03
12/10/2020,$93.35,11992090,$91.55,$94.56,$90.7756
12/09/2020,$90.44,11129430,$92.2,$93.02,$89.37
12/08/2020,$91.54,7627316,$90.34,$92.4623,$90.1887
12/07/2020,$90.76,9398377,$91.82,$92.38,$89.88
12/04/2020,$93.28,10791110,$91.22,$93.45,$90.92
12/03/2020,$89.8,8249758,$90.58,$91.11,$89.07
12/02/2020,$89.87,10509610,$87.26,$91.31,$87.1003
12/01/2020,$87.45,9915692,$89.28,$89.71,$87.07
11/30/2020,$87.18,14288410,$90.01,$90.85,$86.9
11/27/2020,$91.31,4627670,$91.33,$92.59,$90.54
11/25/2020,$92.14,10556560,$94.68,$94.68,$92.14
11/24/2020,$95.62,17266430,$93.39,$95.82,$93
11/23/2020,$91.03,13387120,$87.45,$91.58,$86.76
11/20/2020,$85.79,8296993,$85.72,$86.31,$84.88
11/19/2020,$85.73,8820183,$83.545,$85.96,$83.06
11/18/2020,$84.28,10583710,$87.37,$87.9,$84.25
11/17/2020,$87.04,14329010,$86.4,$87.53,$84.83
11/16/2020,$88.96,18980210,$86.24,$89.18,$85.54
11/13/2020,$83.03,10898830,$81.15,$83.3482,$81.03
11/12/2020,$80.67,8929433,$80.98,$82.24,$79.905
11/11/2020,$82.46,11640580,$84.1,$84.49,$81.8
11/10/2020,$83.07,15039670,$81.14,$83.15,$79.7063
11/09/2020,$79.4,24015180,$80,$84.27,$78.26
11/06/2020,$71.15,8366918,$72.5,$73.27,$70.83
11/05/2020,$72.14,10627730,$71.895,$72.97,$71.76
11/04/2020,$71.77,10925660,$70.78,$73.59,$69.89
