Date,Close/Last,Volume,Open,High,Low
04/05/2021,$19.45,4139,$19.5,$19.7,$19.45
04/01/2021,$19.5,61907,$19.48,$19.8,$19.48
03/31/2021,$19.62,5559,$19.55,$19.675,$19.5
03/30/2021,$19.78,3423,$19.83,$19.89,$19.78
03/29/2021,$19.85,6224,$20.02,$20.2093,$19.77
03/26/2021,$20.01,3563,$20.2,$20.2,$19.89
03/25/2021,$19.47,10614,$19.69,$19.69,$19.2
03/24/2021,$20.12,4153,$19.71,$20.12,$19.7
03/23/2021,$19.56,6443,$19.63,$20.0842,$19.54
03/22/2021,$20.6,3517,$20.36,$20.86,$20.36
03/19/2021,$20.55,6318,$20.36,$21,$20.36
03/18/2021,$20.57,4109,$20.85,$20.945,$20.57
03/17/2021,$21.335,9696,$20.97,$21.54,$20.97
03/16/2021,$21.01,5529,$21.2,$21.37,$20.93
03/15/2021,$21.56,7910,$22.09,$22.09,$21.37
03/12/2021,$21.865,7830,$22.16,$22.16,$21.865
03/11/2021,$21.78,42684,$21.9,$21.9,$21.72
03/10/2021,$21.9,4384,$21.5,$21.9,$21.5
03/09/2021,$21.23,3729,$21.67,$21.69,$21.2
03/08/2021,$21.24,20724,$21.05,$21.77,$21.04
03/05/2021,$21.65,92566,$21.38,$21.9,$21.2572
03/04/2021,$20.9,14832,$20.84,$21.47,$20.5
03/03/2021,$21.06,304744,$20.76,$21.23,$20.6
03/02/2021,$20.75,16480,$20.2,$20.82,$20.2
03/01/2021,$20.215,4081,$20.5,$20.5,$20.2
02/26/2021,$20.2295,5609,$20.52,$20.61,$19.99
02/25/2021,$20.76,57507,$21.05,$21.4549,$20.5
02/24/2021,$20.89,9401,$20.7,$20.9,$20.19
02/23/2021,$20.3001,104669,$20,$20.335,$19.93
02/22/2021,$20.23,168698,$19.39,$20.3,$19.39
02/19/2021,$19.62,7646,$19.478,$19.735,$19.175
02/18/2021,$19.43,8192,$19.83,$19.83,$19.27
02/17/2021,$20.15,39723,$19.7,$20.2307,$19.7
02/16/2021,$19.835,17544,$19.96,$19.97,$19.48
02/12/2021,$18.875,9295,$18.17,$19.0036,$18.17
02/11/2021,$18.39,87854,$18.73,$18.73,$18.34
02/10/2021,$19,5733,$18.46,$19.015,$18.46
02/09/2021,$18.69,517132,$18.86,$19.021,$18.69
02/08/2021,$18.84,1428894,$18.85,$19.09,$18.5
02/05/2021,$18.43,605348,$18.5,$18.51,$18.385
02/04/2021,$17.9,619813,$18.2,$18.2,$17.67
02/03/2021,$18.45,4530900,$17.705,$18.45,$17.705
02/02/2021,$18.15,1422357,$18.01,$18.15,$17.76
02/01/2021,$18,1242603,$18.01,$18.29,$17.88
01/29/2021,$18.39,20624,$18.5,$18.89,$18.3
01/28/2021,$18.8,214250,$19.03,$19.03,$18.59
01/27/2021,$18.92,10153,$19.01,$19.37,$18.55
01/26/2021,$19.15,110561,$19.05,$19.4,$19.05
01/25/2021,$18.88,10348,$18.71,$19.16,$18.71
01/22/2021,$19.35,172008,$19.51,$19.52,$19.2396
