Date,Close/Last,Volume,Open,High,Low
04/05/2021,$56.5,23264840,$57.3,$57.32,$56.14
04/01/2021,$57.39,23194470,$56.32,$57.45,$56.14
03/31/2021,$55.83,23686450,$56.35,$56.63,$55.8
03/30/2021,$56.69,20303430,$56.86,$57.36,$56.49
03/29/2021,$57.4,21144400,$57.34,$57.82,$56.74
03/26/2021,$57.71,34226460,$57.3,$57.78,$56.5239
03/25/2021,$56.18,31495920,$55.21,$56.5,$54.5
03/24/2021,$56.34,29781780,$56.08,$57.28,$56.08
03/23/2021,$55.22,33493300,$54.94,$56.29,$54.45
03/22/2021,$55.91,29315080,$56.5,$56.86,$55.9
03/19/2021,$56.49,84439410,$56.71,$57.465,$55.8101
03/18/2021,$56.81,38622830,$58.81,$58.965,$56.52
03/17/2021,$59.37,25575480,$58.69,$59.73,$58.62
03/16/2021,$59.11,30624760,$59.54,$59.66,$58.44
03/15/2021,$60.39,31263560,$61.49,$61.855,$59.87
03/12/2021,$61.97,20422690,$61.55,$62.37,$61.5
03/11/2021,$61.31,24802650,$61.78,$62.55,$61.26
03/10/2021,$61.77,31579100,$60.52,$61.915,$60.03
03/09/2021,$59.93,35645900,$60.61,$61.39,$59.47
03/08/2021,$60.87,38154580,$61.58,$61.61,$59.82
03/05/2021,$60.93,51429770,$59.83,$61.05,$59.11
